# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.2946700000     -234.4214468790
        0.5896100000     -234.4225097300
        0.8845600000     -234.4241197600
        1.1795200000     -234.4261032320
        1.4744600000     -234.4282832240
        1.7694100000     -234.4305104200
        2.0643700000     -234.4326838230
        2.3593500000     -234.4347415600
        2.6543100000     -234.4366465140
        2.9492800000     -234.4383768470
        3.2436000000     -234.4399152420
        3.5366100000     -234.4412618620
        3.8304000000     -234.4424455580
