# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0000000000     -234.5224486820
        0.2949300000     -234.4215195870
        0.5898300000     -234.4230447340
        0.8847800000     -234.4259089350
        1.1797700000     -234.4302864800
        1.4747600000     -234.4361511110
        1.7697400000     -234.4432908370
        2.0647300000     -234.4514124300
        2.3597100000     -234.4602102850
        2.6546900000     -234.4693917320
        2.9496600000     -234.4786778570
        3.2446400000     -234.4877939400
        3.5396100000     -234.4964585580
        3.8345800000     -234.5043730140
        4.1295100000     -234.5112090860
        4.4243400000     -234.5166182710
        4.7186600000     -234.5202911550
        4.9652600000     -234.5219842140
